INCIDENTNU,INCIDENTNA,INCIDENTTY,FIREDATE,FINANCIALY,FIREYEAR,SEASON,DATERELIAB,SHAPE_Leng,SHAPE_Area,hecter2,REGION,shape_le_1,shape_ar_1,hect3,region_code
0,,Bushfire,12/31/1931,1931/1932,1931,SUMMER,6,111.0783423,272.585317,0,Fleurieu and Kangaroo Island,8.17388618,1.534161513,908263,8
0,,Bushfire,12/31/1931,1931/1932,1931,SUMMER,6,20803.3305,17964842.44,1796,Fleurieu and Kangaroo Island,8.17388618,1.534161513,908263,8
0,,Bushfire,12/31/1931,1931/1932,1931,SUMMER,6,53.83737062,39.91594857,0,Fleurieu and Kangaroo Island,8.17388618,1.534161513,908263,8
0,,Bushfire,12/31/1931,1931/1932,1931,SUMMER,6,59.34588282,27.23426702,0,Fleurieu and Kangaroo Island,8.17388618,1.534161513,908263,8
0,,Bushfire,12/31/1931,1931/1932,1931,SUMMER,6,3.016557851,0.160856999,0,Fleurieu and Kangaroo Island,8.17388618,1.534161513,908263,8
0,,Bushfire,12/31/1931,1931/1932,1931,SUMMER,6,63.52764342,238.933564,0,Fleurieu and Kangaroo Island,8.17388618,1.534161513,908263,8
0,,Bushfire,12/31/1931,1931/1932,1931,SUMMER,6,156.3761572,1049.022501,0,Fleurieu and Kangaroo Island,8.17388618,1.534161513,908263,8
0,,Bushfire,12/31/1931,1931/1932,1931,SUMMER,6,131.7799344,232.3505949,0,Fleurieu and Kangaroo Island,8.17388618,1.534161513,908263,8
0,,Bushfire,12/31/1931,1931/1932,1931,SUMMER,6,327.9948078,2898.255477,0,Fleurieu and Kangaroo Island,8.17388618,1.534161513,908263,8
0,,Bushfire,12/31/1931,1931/1932,1931,SUMMER,6,78.97025505,104.685055,0,Fleurieu and Kangaroo Island,8.17388618,1.534161513,908263,8
0,,Bushfire,12/31/1931,1931/1932,1931,SUMMER,6,112.6527488,489.23278,0,Fleurieu and Kangaroo Island,8.17388618,1.534161513,908263,8
0,,Bushfire,12/31/1931,1931/1932,1931,SUMMER,6,161.7862904,706.5348881,0,Fleurieu and Kangaroo Island,8.17388618,1.534161513,908263,8
0,,Bushfire,12/31/1931,1931/1932,1931,SUMMER,6,57.61516087,135.508802,0,Fleurieu and Kangaroo Island,8.17388618,1.534161513,908263,8
0,,Bushfire,12/31/1931,1931/1932,1931,SUMMER,6,22.35307997,21.495953,0,Fleurieu and Kangaroo Island,8.17388618,1.534161513,908263,8
0,,Bushfire,12/31/1939,1939/1940,1939,SUMMER,5,8980.702557,4753029.338,475,Limestone Coast,7.181517991,2.369442502,2936220,2
0,,Bushfire,1/1/1940,1939/1940,1940,SUMMER,3,7044.769082,661188.7949,66,Fleurieu and Kangaroo Island,8.17388618,1.534161513,908263,8
0,,Bushfire,1/1/1940,1939/1940,1940,SUMMER,7,6348.211205,798089.1783,80,Fleurieu and Kangaroo Island,8.17388618,1.534161513,908263,8
0,,Bushfire,12/31/1945,1945/1946,1945,SUMMER,9,1109.739302,50982.97233,5,Murray and Mallee,11.96083426,5.373849443,6659290,3
0,,Bushfire,12/31/1945,1945/1946,1945,SUMMER,9,1729.402093,84310.89114,8,Murray and Mallee,11.96083426,5.373849443,6659290,3
0,,Bushfire,12/31/1945,1945/1946,1945,SUMMER,9,932.4039793,32046.3317,3,Murray and Mallee,11.96083426,5.373849443,6659290,3
0,,Bushfire,12/31/1945,1945/1946,1945,SUMMER,9,562.5850021,4671.860447,0,Murray and Mallee,11.96083426,5.373849443,6659290,3
0,,Bushfire,12/31/1945,1945/1946,1945,SUMMER,9,169.3314884,874.927072,0,Murray and Mallee,11.96083426,5.373849443,6659290,3
0,,Bushfire,12/31/1945,1945/1946,1945,SUMMER,9,8330.095598,3529106.177,353,Murray and Mallee,11.96083426,5.373849443,6659290,3
0,,Bushfire,12/31/1945,1945/1946,1945,SUMMER,9,39924.07816,50446083.27,5045,Murray and Mallee,11.96083426,5.373849443,6659290,3
0,,Bushfire,1/31/1950,1949/1950,1950,SUMMER,7,8929.87367,2596592.612,260,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,1/31/1950,1949/1950,1950,SUMMER,7,4201.967315,219226.0894,22,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/31/1950,1950/1951,1950,SUMMER,4,333.3593604,7365.554213,1,Southern Adelaide,1.935123865,0.186929454,231644,1
0,,Bushfire,12/31/1950,1950/1951,1950,SUMMER,4,1044.914627,17261.55372,2,Southern Adelaide,1.935123865,0.186929454,231644,1
0,,Bushfire,12/31/1950,1950/1951,1950,SUMMER,9,461.9437622,12547.94377,1,Fleurieu and Kangaroo Island,8.17388618,1.534161513,908263,8
0,,Bushfire,12/31/1950,1950/1951,1950,SUMMER,9,995.928147,55525.00962,6,Fleurieu and Kangaroo Island,8.17388618,1.534161513,908263,8
0,,Bushfire,12/31/1950,1950/1951,1950,SUMMER,9,129.9799901,645.5970835,0,Fleurieu and Kangaroo Island,8.17388618,1.534161513,908263,8
0,,Bushfire,12/31/1950,1950/1951,1950,SUMMER,9,119.735935,856.2638546,0,Fleurieu and Kangaroo Island,8.17388618,1.534161513,908263,8
0,,Bushfire,12/31/1950,1950/1951,1950,SUMMER,9,4365.431894,242858.2843,24,Fleurieu and Kangaroo Island,8.17388618,1.534161513,908263,8
0,,Bushfire,12/31/1951,1951/1952,1951,SUMMER,4,1236.737775,13337.69655,1,Southern Adelaide,1.935123865,0.186929454,231644,1
0,,Bushfire,12/31/1951,1951/1952,1951,SUMMER,4,130.8230035,383.657966,0,Southern Adelaide,1.935123865,0.186929454,231644,1
0,,Bushfire,12/31/1951,1951/1952,1951,SUMMER,4,195.0967851,763.1039415,0,Southern Adelaide,1.935123865,0.186929454,231644,1
0,,Bushfire,12/31/1951,1951/1952,1951,SUMMER,4,518.8683568,3986.61453,0,Southern Adelaide,1.935123865,0.186929454,231644,1
0,,Bushfire,12/31/1951,1951/1952,1951,SUMMER,4,11.91602578,5.414064505,0,Southern Adelaide,1.935123865,0.186929454,231644,1
0,,Bushfire,12/31/1951,1951/1952,1951,SUMMER,4,95.11022753,408.100818,0,Southern Adelaide,1.935123865,0.186929454,231644,1
0,,Bushfire,12/31/1951,1951/1952,1951,SUMMER,4,826.9718934,17661.95458,2,Southern Adelaide,1.935123865,0.186929454,231644,1
0,,Bushfire,12/31/1951,1951/1952,1951,SUMMER,4,290.3423007,1421.632817,0,Southern Adelaide,1.935123865,0.186929454,231644,1
0,,Bushfire,12/31/1952,1952/1953,1952,SUMMER,4,363.1545495,6035.445513,1,Southern Adelaide,1.935123865,0.186929454,231644,1
0,,Bushfire,12/31/1952,1952/1953,1952,SUMMER,6,139.1954999,1152.275444,0,Fleurieu and Kangaroo Island,8.17388618,1.534161513,908263,8
0,,Bushfire,12/31/1952,1952/1953,1952,SUMMER,6,6316.362499,1950560.504,195,Fleurieu and Kangaroo Island,8.17388618,1.534161513,908263,8
0,,Bushfire,12/31/1952,1952/1953,1952,SUMMER,6,252.0453904,715.9519365,0,Fleurieu and Kangaroo Island,8.17388618,1.534161513,908263,8
