Year,Month,Region,Dry,Temp,Above 35,Burnoff,Hectares,Region Hectares,HectarePerc,Bushfire,Severe Bushfire
1955,1,1,3,36,0,1,22584,"1,000,000",0.02,0,0
1956,1,1,1,34,1,0,200938,"1,000,000",0.2,0,1
1957,1,1,4,37,1,1,118348,"1,000,000",0.12,0,0
1958,1,1,1,26,0,1,103855,"1,000,000",0.1,1,1
1959,1,1,2,32,0,0,238297,"1,000,000",0.24,1,1
1960,1,1,5,36,1,0,492723,"1,000,000",0.49,0,0
1961,1,1,4,27,1,1,143329,"1,000,000",0.14,0,0
1962,1,1,5,33,0,1,271461,"1,000,000",0.27,1,1
1963,1,1,1,32,0,0,1667,"1,000,000",0,0,0
1964,1,1,3,27,1,0,416465,"1,000,000",0.42,1,0
1965,1,1,2,36,1,0,498405,"1,000,000",0.5,1,0
1966,1,1,5,39,1,1,341705,"1,000,000",0.34,0,1
1967,1,1,4,31,0,0,71241,"1,000,000",0.07,0,0
1968,1,1,2,27,1,1,61213,"1,000,000",0.06,0,1
1969,1,1,3,20,0,0,8631,"1,000,000",0.01,0,0
1970,1,1,5,36,0,0,320082,"1,000,000",0.32,0,0
1971,1,1,1,37,1,1,420156,"1,000,000",0.42,0,0
1972,1,1,5,24,1,1,407437,"1,000,000",0.41,1,0
1973,1,1,3,39,1,0,16837,"1,000,000",0.02,1,0
1974,1,1,2,26,1,0,75404,"1,000,000",0.08,0,0
1975,1,1,1,34,1,1,328548,"1,000,000",0.33,0,1
1976,1,1,5,25,0,0,432689,"1,000,000",0.43,1,1
1977,1,1,1,31,1,1,193182,"1,000,000",0.19,1,0
1978,1,1,4,39,0,0,136372,"1,000,000",0.14,1,1
1979,1,1,3,21,0,0,94261,"1,000,000",0.09,0,0
1980,1,1,2,24,1,0,199317,"1,000,000",0.2,1,0
1981,1,1,2,26,1,1,249079,"1,000,000",0.25,0,0
1982,1,1,3,22,1,1,65868,"1,000,000",0.07,1,0
1983,1,1,3,30,1,1,348379,"1,000,000",0.35,1,0
1984,1,1,1,39,0,1,329593,"1,000,000",0.33,0,1
1985,1,1,5,34,1,0,203473,"1,000,000",0.2,0,0
1986,1,1,2,22,1,0,294342,"1,000,000",0.29,0,1
1987,1,1,3,23,1,1,385103,"1,000,000",0.39,1,0
1988,1,1,5,25,1,1,416321,"1,000,000",0.42,1,1
1989,1,1,5,23,1,0,123626,"1,000,000",0.12,0,1
1990,1,1,1,29,1,0,120781,"1,000,000",0.12,0,1
1991,1,1,2,37,1,1,481973,"1,000,000",0.48,1,0
1992,1,1,4,38,0,1,290216,"1,000,000",0.29,1,1
1993,1,1,3,30,1,0,249171,"1,000,000",0.25,1,0
1994,1,1,5,26,1,1,408734,"1,000,000",0.41,0,1
1995,1,1,1,28,1,1,340367,"1,000,000",0.34,0,0
1996,1,1,4,27,0,0,273873,"1,000,000",0.27,0,1
1997,1,1,3,22,1,0,456801,"1,000,000",0.46,0,0
1998,1,1,1,25,0,0,390373,"1,000,000",0.39,1,1
1999,1,1,1,35,0,0,204919,"1,000,000",0.2,0,0
2000,1,1,5,27,1,0,342845,"1,000,000",0.34,1,0
2001,1,1,5,36,1,1,318743,"1,000,000",0.32,1,1
2002,1,1,2,37,0,0,38101,"1,000,000",0.04,0,1
2003,1,1,3,20,1,0,295930,"1,000,000",0.3,1,1
