Year,Month,Date,Region,Temp,Above 35,Burnoff,Hectares burned,Region Hectares,Hectare Percent Burnt,Bushfire,Severe Bushfire
1955,1,1/01/1955,1,26.7,2,0,0,460481,0,0,0
1955,2,1/02/1955,1,25.9,0,0,0,460481,0,0,0
1955,3,1/03/1955,1,25.3,0,0,0,460481,0,0,0
1955,4,1/04/1955,1,21.8,0,0,0,460481,0,0,0
1955,5,1/05/1955,1,16.7,0,0,0,460481,0,0,0
1955,6,1/06/1955,1,15.2,0,0,0,460481,0,0,0
1955,7,1/07/1955,1,14.1,0,0,0,460481,0,0,0
1955,8,1/08/1955,1,16.2,0,0,0,460481,0,0,0
1955,9,1/09/1955,1,19.1,0,0,0,460481,0,0,0
1955,10,1/10/1955,1,20.5,0,0,0,460481,0,0,0
1955,11,1/11/1955,1,21.0,0,0,0,460481,0,0,0
1955,12,1/12/1955,1,23.6,3,0,116,460481,0.02519105,1,0
1956,1,1/01/1956,1,25.5,1,0,0,460481,0,0,0
1956,2,1/02/1956,1,29.9,2,0,0,460481,0,0,0
1956,3,1/03/1956,1,25.8,0,0,0,460481,0,0,0
1956,4,1/04/1956,1,21.4,0,0,0,460481,0,0,0
1956,5,1/05/1956,1,18.3,0,0,0,460481,0,0,0
1956,6,1/06/1956,1,14.5,0,0,0,460481,0,0,0
1956,7,1/07/1956,1,14.1,0,0,0,460481,0,0,0
1956,8,1/08/1956,1,14.5,0,0,0,460481,0,0,0
1956,9,1/09/1956,1,16.3,0,0,0,460481,0,0,0
1956,10,1/10/1956,1,18.5,0,0,0,460481,0,0,0
1956,11,1/11/1956,1,21.4,0,0,0,460481,0,0,0
1956,12,1/12/1956,1,22.4,0,0,6,460481,0.001302985,1,0
1957,1,1/01/1957,1,26.7,2,0,0,460481,0,0,0
1957,2,1/02/1957,1,26.5,3,0,0,460481,0,0,0
1957,3,1/03/1957,1,24.0,0,0,0,460481,0,0,0
1957,4,1/04/1957,1,21.0,0,0,0,460481,0,0,0
1957,5,1/05/1957,1,18.5,0,0,0,460481,0,0,0
1957,6,1/06/1957,1,19.9,0,0,0,460481,0,0,0
1957,7,1/07/1957,1,13.9,0,0,0,460481,0,0,0
1957,8,1/08/1957,1,15.6,0,0,0,460481,0,0,0
1957,9,1/09/1957,1,17.1,0,0,0,460481,0,0,0
1957,10,1/10/1957,1,20.1,0,0,0,460481,0,0,0
1957,11,1/11/1957,1,22.4,0,0,0,460481,0,0,0
1957,12,1/12/1957,1,26.0,3,0,0,460481,0,0,0
1958,1,1/01/1958,1,26.3,1,0,0,460481,0,0,0
1958,2,1/02/1958,1,26.8,1,0,0,460481,0,0,0
1958,3,1/03/1958,1,23.9,0,0,0,460481,0,0,0
1958,4,1/04/1958,1,23.4,0,0,0,460481,0,0,0
1958,5,1/05/1958,1,19.2,0,0,0,460481,0,0,0
